"Status as of March 5 ,2026",
Confirmed -,1. Half day - (AAIMVT) - 1st Workshop on Applied AI and Multimodal Visualization Technologies
Confirmed -,2. Half day - (AiOfAi) - The Workshop on Adverse Impacts and Collateral Effects of Artificial Intelligence Technologies
Pending additional registrations -,3. Half day - (ALTARS 2026) - 4th Workshop on Augmented Intelligence in Technology-Assisted Review Systems
Pending additional registrations -,4. Half day - (BeyondFacts’26) - 6th International Workshop on Computational Methods for Online Discourse Analysis
Confirmed -,5. Full day - (DHOW-MiLLA) - Joint Workshop on Diffusion of Harmful Content on Online Web and Countering Misinformation in the Age of LLMs and Agents
Confirmed -,6. Full day - (FAAW) - International Workshop on Foundations and Architectures for the Agentic Web
Pending additional registrations -,7. Full day - (FIIR) - The Future of Information Integrity Research Workshop (FIIR)
Pending additional registrations -,8. Half day - ( FL@FM) - International Workshop on Federated Foundation Models for the Web 2026
Confirmed -,9. Half day - (GLOW) - Graph-enhanced LLMs for Trustworthy Web Data Management
Confirmed -,10. Half day - (HCRS) - The 2nd Workshop on Human-Centered Recommender Systems
Confirmed -,11. Full day - (LARS) - LLM & Agents for Recommendation Systems
Confirmed -,12. Half day - (MM4SG) - Fourth International Workshop on Multimodal Content Analysis for Social Good
Confirmed -,13. Half day - (PromptEng) - Third International Workshop on Prompt Engineering for Pre-Trained Language Models
Pending additional registrations -,14. Half day - (R2CASS) - The 2nd International Workshop on Social Science Meets Web Data: Reproducible and Reusable Computational Approaches
Confirmed -,"15. Half day - (SemTech) - 4th International Workshop on AI and Semantic Technologies for the Scientific, Technical, and Legal Web"
Confirmed -,16. Full day - (TempWeb) - The 16th Temporal Web Analytics Workshop
Confirmed -,17. Half day - (TrustFM) - Trustworthy Foundation Models for Web Intelligence: Causal Perspectives and Challenges
Confirmed -,18. Full day - (TIME) - 2nd International Workshop on Transformative Insights in Multi-faceted Evaluation
Pending additional registrations -,19. Full day - (TML) - International Workshop on Trustworthy Multimodal Learning for Social Media Analysis
Pending additional registrations -,20. Full day - (WebAds) - Emerging Trends in Web Advertising
Pending additional registrations -,21. Half day - (WebAndTheCity) - 12th International Smart City Workshop – Data-Driven Smart Cities
Confirmed -,22. Half day - (WebST) - The 2nd International Workshop on Spatio-Temporal Data Mining from the Web
Confirmed -,23. Full day - ( ZABAPAD) - Zero-knowledge Proof and Blockchain for Web 4.0: Advancing the Post-quantum and Decentralized Era